ward_code,ward_name,ward_type,district_name,province_name
1,Phường Phúc Xá,Phường,Quận Ba Đình,Thành phố Hà Nội
4,Phường Trúc Bạch,Phường,Quận Ba Đình,Thành phố Hà Nội
6,Phường Vĩnh Phúc,Phường,Quận Ba Đình,Thành phố Hà Nội
7,Phường Cống Vị,Phường,Quận Ba Đình,Thành phố Hà Nội
8,Phường Liễu Giai,Phường,Quận Ba Đình,Thành phố Hà Nội
13,Phường Quán Thánh,Phường,Quận Ba Đình,Thành phố Hà Nội
16,Phường Ngọc Hà,Phường,Quận Ba Đình,Thành phố Hà Nội
19,Phường Điện Biên,Phường,Quận Ba Đình,Thành phố Hà Nội
22,Phường Đội Cấn,Phường,Quận Ba Đình,Thành phố Hà Nội
25,Phường Ngọc Khánh,Phường,Quận Ba Đình,Thành phố Hà Nội
28,Phường Kim Mã,Phường,Quận Ba Đình,Thành phố Hà Nội
31,Phường Giảng Võ,Phường,Quận Ba Đình,Thành phố Hà Nội
34,Phường Thành Công,Phường,Quận Ba Đình,Thành phố Hà Nội
37,Phường Phúc Tân,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
40,Phường Đồng Xuân,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
43,Phường Hàng Mã,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
46,Phường Hàng Buồm,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
49,Phường Hàng Đào,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
52,Phường Hàng Bồ,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
55,Phường Cửa Đông,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
58,Phường Lý Thái Tổ,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
61,Phường Hàng Bạc,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
64,Phường Hàng Gai,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
67,Phường Chương Dương,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
70,Phường Hàng Trống,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
73,Phường Cửa Nam,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
76,Phường Hàng Bông,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
79,Phường Tràng Tiền,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
82,Phường Trần Hưng Đạo,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
85,Phường Phan Chu Trinh,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
88,Phường Hàng Bài,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
91,Phường Phú Thượng,Phường,Quận Tây Hồ,Thành phố Hà Nội
94,Phường Nhật Tân,Phường,Quận Tây Hồ,Thành phố Hà Nội
97,Phường Tứ Liên,Phường,Quận Tây Hồ,Thành phố Hà Nội
100,Phường Quảng An,Phường,Quận Tây Hồ,Thành phố Hà Nội
103,Phường Xuân La,Phường,Quận Tây Hồ,Thành phố Hà Nội
106,Phường Yên Phụ,Phường,Quận Tây Hồ,Thành phố Hà Nội
